Resolution,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
2400,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,317679,0.005648,13,24436,5379,206421,54933.684497
2400,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,25951,0.000461,13,1996,1112,6877,1532.279103
2400,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,555491,0.009877,13,42730,8332,336409,91378.007366
2400,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,53351,0.000949,13,4103,3148,6090,814.519695
2400,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,122889,0.002185,13,9453,6125,30760,6693.873841
2400,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,15671,0.000279,13,1205,1032,1466,139.301232
2400,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,122255,0.002174,13,9404,2074,27655,8707.573614
2400,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,267273504,4.752238,13,20559500,15480,267030160,74055217.010112
2416,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,56835,0.001013,13,4371,3478,7235,1058.738085
2416,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,543518,0.009685,13,41809,8021,309162,84911.506201
2416,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,3362839,0.059923,13,258679,79185,1320249,349762.907115
2416,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,120433,0.002146,13,9264,2211,18969,7299.493812
2416,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,956048,0.017036,13,73542,15252,326446,100198.940368
2416,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,147907,0.002636,13,11377,4617,36657,8309.204836
2416,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,100063,0.001783,13,7697,5479,12774,2196.909306
2416,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,354781,0.006322,13,27290,5626,223203,59508.127097
2416,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,574959,0.010245,13,44227,1643,225323,79423.025969
